Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  42,0.00,0.00,0.290,0.007,0.018,0.033,0.494,0.044,0.114,0.00,607
Client  43,0.076,0.114,0.004,0.011,0.220,0.008,0.038,0.00,0.001,0.527,736
Client  44,0.097,0.00,0.015,0.125,0.00,0.084,0.040,0.001,0.289,0.348,793
Client  45,0.042,0.012,0.104,0.081,0.00,0.00,0.242,0.086,0.236,0.197,594
Client  46,0.095,0.043,0.120,0.005,0.013,0.095,0.618,0.010,0.00,0.00,600
Client  47,0.00,0.003,0.164,0.006,0.090,0.027,0.280,0.103,0.327,0.00,669
Client  48,0.808,0.192,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,704
Client  49,0.059,0.132,0.008,0.00,0.550,0.252,0.00,0.00,0.00,0.00,783
Client  50,0.018,0.057,0.129,0.001,0.00,0.00,0.060,0.006,0.230,0.499,1129
Client  51,0.075,0.264,0.007,0.021,0.00,0.222,0.002,0.409,0.00,0.00,826
Client  52,0.001,0.001,0.00,0.016,0.124,0.036,0.520,0.001,0.150,0.150,687
Client  53,0.342,0.010,0.071,0.018,0.157,0.007,0.170,0.083,0.141,0.00,675
Client  54,0.003,0.215,0.003,0.106,0.415,0.027,0.00,0.230,0.00,0.00,622
Client  55,0.070,0.027,0.042,0.862,0.00,0.00,0.00,0.00,0.00,0.00,904
Client  56,0.007,0.029,0.005,0.178,0.022,0.013,0.038,0.471,0.00,0.237,552
Client  57,0.007,0.027,0.00,0.231,0.107,0.00,0.132,0.301,0.174,0.021,438
Client  58,0.302,0.062,0.205,0.200,0.00,0.045,0.049,0.054,0.083,0.00,629
Client  59,0.445,0.00,0.039,0.006,0.00,0.391,0.00,0.118,0.00,0.00,634
Client  60,0.157,0.037,0.00,0.361,0.00,0.00,0.00,0.319,0.063,0.063,191
Client  61,0.00,0.454,0.380,0.00,0.015,0.026,0.044,0.015,0.041,0.026,271
Client  62,0.134,0.124,0.005,0.00,0.010,0.144,0.019,0.301,0.239,0.024,209
Client  63,0.205,0.105,0.011,0.063,0.125,0.092,0.400,0.00,0.00,0.00,698
Client  64,0.004,0.223,0.103,0.009,0.352,0.009,0.193,0.009,0.094,0.004,233
Client  65,0.518,0.073,0.033,0.017,0.00,0.013,0.346,0.00,0.00,0.00,836
Client  66,0.015,0.007,0.00,0.049,0.027,0.303,0.091,0.037,0.204,0.266,406
Client  67,0.012,0.027,0.033,0.00,0.061,0.638,0.119,0.009,0.021,0.079,329
Client  68,0.012,0.00,0.349,0.008,0.037,0.233,0.004,0.189,0.053,0.116,493
Client  69,0.233,0.021,0.092,0.023,0.00,0.092,0.037,0.00,0.002,0.499,433
Client  70,0.006,0.036,0.002,0.006,0.335,0.144,0.00,0.00,0.436,0.034,472
Client  71,0.005,0.007,0.00,0.016,0.014,0.00,0.016,0.211,0.090,0.640,431
Client  72,0.016,0.016,0.00,0.106,0.006,0.047,0.006,0.197,0.412,0.194,320
Client  73,0.004,0.00,0.066,0.027,0.147,0.009,0.171,0.193,0.00,0.383,773
Client  74,0.287,0.104,0.013,0.597,0.00,0.00,0.00,0.00,0.00,0.00,719
Client  75,0.241,0.172,0.041,0.083,0.083,0.062,0.007,0.007,0.255,0.048,145
Client  76,0.044,0.529,0.029,0.261,0.002,0.00,0.029,0.107,0.00,0.00,656
Client  77,0.228,0.002,0.770,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600
Client  78,0.197,0.00,0.00,0.063,0.273,0.00,0.004,0.00,0.00,0.462,238
Client  79,0.100,0.183,0.00,0.002,0.032,0.042,0.641,0.00,0.00,0.00,818
Client  80,0.107,0.00,0.262,0.113,0.00,0.006,0.00,0.00,0.327,0.185,168
Client  81,0.029,0.250,0.499,0.00,0.160,0.003,0.058,0.00,0.00,0.00,617
Client  82,0.233,0.016,0.188,0.070,0.009,0.084,0.012,0.389,0.00,0.00,682
Client  83,0.016,0.004,0.771,0.010,0.051,0.149,0.00,0.00,0.00,0.00,693
Client  84,0.012,0.025,0.028,0.214,0.013,0.101,0.001,0.048,0.004,0.553,1335
Client  85,0.207,0.216,0.018,0.039,0.519,0.00,0.00,0.00,0.00,0.00,813
Client  86,0.082,0.00,0.00,0.086,0.275,0.00,0.483,0.037,0.026,0.012,429
Client  87,0.002,0.178,0.010,0.190,0.138,0.00,0.00,0.132,0.084,0.266,478
Client  88,0.078,0.003,0.00,0.344,0.405,0.026,0.058,0.00,0.00,0.087,346
Client  89,0.003,0.267,0.206,0.063,0.095,0.366,0.00,0.00,0.00,0.00,863
Client  90,0.031,0.269,0.00,0.00,0.038,0.230,0.010,0.159,0.263,0.00,735
Client  91,0.002,0.002,0.372,0.00,0.164,0.019,0.002,0.061,0.00,0.378,524
Client  92,0.275,0.491,0.084,0.028,0.002,0.017,0.00,0.104,0.00,0.00,644
Client  93,0.390,0.091,0.102,0.00,0.00,0.102,0.007,0.152,0.150,0.007,441
Client  94,0.015,0.019,0.00,0.013,0.00,0.00,0.048,0.046,0.074,0.786,1020
Client  95,0.017,0.130,0.339,0.030,0.309,0.00,0.007,0.037,0.130,0.003,301
Client  96,0.00,0.033,0.014,0.107,0.021,0.007,0.006,0.813,0.00,0.00,877
Client  97,0.069,0.191,0.083,0.00,0.00,0.076,0.152,0.022,0.386,0.022,277
Client  98,0.018,0.443,0.026,0.026,0.054,0.161,0.192,0.075,0.005,0.00,386
Client  99,0.258,0.010,0.003,0.162,0.057,0.013,0.397,0.021,0.016,0.063,383
