Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  52,0.217,0.002,0.00,0.027,0.00,0.019,0.736,0.00,0.00,0.00,640
Client  53,0.147,0.039,0.355,0.00,0.002,0.002,0.00,0.434,0.002,0.017,408
Client  54,0.481,0.039,0.006,0.024,0.004,0.372,0.00,0.00,0.002,0.072,538
Client  55,0.001,0.042,0.00,0.018,0.002,0.00,0.141,0.135,0.001,0.661,1010
Client  56,0.096,0.101,0.260,0.00,0.066,0.00,0.00,0.00,0.463,0.015,335
Client  57,0.002,0.075,0.058,0.075,0.021,0.007,0.002,0.002,0.758,0.00,534
Client  58,0.002,0.004,0.00,0.626,0.002,0.032,0.026,0.104,0.204,0.00,538
Client  59,0.101,0.00,0.625,0.047,0.00,0.00,0.008,0.110,0.108,0.00,507
Client  60,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,713
Client  61,0.00,0.00,0.006,0.00,0.538,0.135,0.00,0.023,0.263,0.035,171
Client  62,0.144,0.091,0.009,0.258,0.017,0.002,0.205,0.013,0.261,0.00,639
Client  63,0.00,0.517,0.013,0.004,0.184,0.011,0.002,0.270,0.00,0.00,559
Client  64,0.005,0.221,0.054,0.034,0.088,0.016,0.031,0.072,0.479,0.00,557
Client  65,0.063,0.009,0.315,0.00,0.027,0.360,0.072,0.00,0.081,0.072,111
Client  66,0.139,0.339,0.022,0.005,0.005,0.490,0.00,0.00,0.00,0.00,628
Client  67,0.014,0.002,0.984,0.00,0.00,0.00,0.00,0.00,0.00,0.00,811
Client  68,0.077,0.111,0.812,0.00,0.00,0.00,0.00,0.00,0.00,0.00,558
Client  69,0.020,0.018,0.023,0.014,0.011,0.187,0.144,0.315,0.261,0.007,444
Client  70,0.303,0.013,0.00,0.048,0.00,0.636,0.00,0.00,0.00,0.00,673
Client  71,0.00,0.00,0.063,0.099,0.001,0.837,0.00,0.00,0.00,0.00,750
Client  72,0.066,0.617,0.004,0.031,0.195,0.004,0.008,0.031,0.027,0.016,256
Client  73,0.091,0.00,0.258,0.200,0.010,0.018,0.203,0.167,0.051,0.003,395
Client  74,0.013,0.00,0.095,0.348,0.00,0.025,0.006,0.411,0.101,0.00,158
Client  75,0.057,0.018,0.541,0.004,0.00,0.012,0.238,0.002,0.128,0.00,562
Client  76,0.684,0.009,0.00,0.00,0.111,0.00,0.188,0.00,0.00,0.009,117
Client  77,0.199,0.00,0.124,0.087,0.007,0.00,0.010,0.00,0.574,0.00,725
Client  78,0.215,0.007,0.00,0.005,0.107,0.037,0.002,0.00,0.110,0.517,410
Client  79,0.00,0.002,0.302,0.00,0.002,0.00,0.138,0.019,0.134,0.403,486
Client  80,0.062,0.214,0.393,0.022,0.103,0.022,0.143,0.036,0.004,0.00,224
Client  81,0.087,0.017,0.148,0.203,0.218,0.031,0.004,0.00,0.105,0.186,458
Client  82,0.296,0.240,0.023,0.056,0.002,0.035,0.349,0.00,0.00,0.00,608
Client  83,0.029,0.072,0.041,0.022,0.00,0.834,0.00,0.00,0.00,0.00,580
Client  84,0.00,0.00,0.303,0.221,0.00,0.016,0.107,0.00,0.352,0.00,122
Client  85,0.102,0.00,0.00,0.015,0.00,0.00,0.029,0.645,0.208,0.00,518
Client  86,0.011,0.00,0.003,0.072,0.062,0.002,0.434,0.017,0.045,0.354,641
Client  87,0.177,0.073,0.00,0.131,0.00,0.171,0.00,0.00,0.003,0.444,603
Client  88,0.007,0.00,0.057,0.00,0.006,0.008,0.021,0.901,0.00,0.00,849
Client  89,0.00,0.048,0.00,0.016,0.053,0.110,0.655,0.119,0.00,0.00,438
Client  90,0.008,0.00,0.00,0.004,0.746,0.227,0.004,0.00,0.004,0.008,256
Client  91,0.023,0.066,0.00,0.008,0.173,0.004,0.190,0.188,0.347,0.00,738
Client  92,0.00,0.208,0.024,0.069,0.103,0.00,0.081,0.026,0.281,0.208,495
Client  93,0.00,0.023,0.009,0.001,0.156,0.00,0.00,0.015,0.187,0.609,745
Client  94,0.004,0.001,0.018,0.00,0.452,0.00,0.005,0.060,0.023,0.439,839
Client  95,0.187,0.066,0.011,0.050,0.208,0.001,0.477,0.00,0.00,0.00,759
Client  96,0.002,0.066,0.659,0.002,0.271,0.00,0.00,0.00,0.00,0.00,502
Client  97,0.023,0.629,0.348,0.00,0.00,0.00,0.00,0.00,0.00,0.00,566
Client  98,0.024,0.012,0.00,0.00,0.185,0.012,0.482,0.00,0.00,0.286,168
Client  99,0.002,0.027,0.122,0.107,0.002,0.366,0.124,0.042,0.086,0.120,475
