Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  27,0.019,0.027,0.031,0.00,0.276,0.097,0.00,0.070,0.148,0.331,257
Client  28,0.077,0.105,0.011,0.102,0.486,0.003,0.216,0.00,0.00,0.00,352
Client  29,0.00,0.00,0.00,0.010,0.039,0.117,0.00,0.524,0.117,0.194,103
Client  30,0.009,0.124,0.329,0.084,0.013,0.182,0.098,0.076,0.009,0.076,225
Client  31,0.00,0.269,0.146,0.006,0.158,0.260,0.012,0.149,0.00,0.00,335
Client  32,0.245,0.401,0.119,0.034,0.202,0.00,0.00,0.00,0.00,0.00,327
Client  33,0.562,0.062,0.00,0.041,0.134,0.057,0.015,0.00,0.077,0.052,194
Client  34,0.007,0.388,0.003,0.482,0.013,0.107,0.00,0.00,0.00,0.00,307
Client  35,0.308,0.013,0.085,0.052,0.117,0.008,0.023,0.013,0.381,0.00,386
Client  36,0.085,0.267,0.00,0.049,0.009,0.049,0.011,0.045,0.484,0.00,446
Client  37,0.019,0.003,0.104,0.050,0.220,0.031,0.072,0.094,0.138,0.267,318
Client  38,0.094,0.160,0.025,0.009,0.085,0.00,0.082,0.223,0.100,0.223,319
Client  39,0.036,0.044,0.222,0.032,0.004,0.063,0.056,0.504,0.012,0.028,252
Client  40,0.023,0.034,0.00,0.011,0.011,0.023,0.437,0.069,0.00,0.391,87
Client  41,0.218,0.035,0.190,0.014,0.021,0.049,0.00,0.014,0.218,0.239,142
Client  42,0.223,0.069,0.269,0.439,0.00,0.00,0.00,0.00,0.00,0.00,305
Client  43,0.030,0.170,0.037,0.007,0.022,0.022,0.067,0.281,0.333,0.030,135
Client  44,0.063,0.066,0.019,0.00,0.047,0.175,0.326,0.304,0.00,0.00,365
Client  45,0.018,0.007,0.00,0.069,0.029,0.007,0.387,0.248,0.00,0.234,274
Client  46,0.126,0.069,0.172,0.046,0.069,0.052,0.098,0.270,0.098,0.00,174
Client  47,0.010,0.013,0.115,0.727,0.003,0.132,0.00,0.00,0.00,0.00,304
Client  48,0.007,0.007,0.007,0.075,0.020,0.007,0.00,0.415,0.048,0.415,147
Client  49,0.00,0.065,0.00,0.083,0.449,0.022,0.00,0.145,0.188,0.047,276
Client  50,0.041,0.500,0.064,0.050,0.026,0.117,0.058,0.143,0.00,0.00,342
Client  51,0.066,0.055,0.505,0.00,0.044,0.088,0.00,0.198,0.033,0.011,91
Client  52,0.032,0.086,0.104,0.118,0.054,0.00,0.107,0.068,0.168,0.264,280
Client  53,0.00,0.004,0.089,0.064,0.060,0.106,0.094,0.145,0.064,0.374,235
Client  54,0.019,0.227,0.084,0.003,0.114,0.00,0.010,0.052,0.094,0.396,308
Client  55,0.033,0.003,0.026,0.304,0.121,0.075,0.124,0.314,0.00,0.00,306
Client  56,0.109,0.051,0.00,0.006,0.115,0.013,0.243,0.329,0.045,0.089,313
Client  57,0.129,0.322,0.018,0.276,0.031,0.00,0.224,0.00,0.00,0.00,326
Client  58,0.010,0.383,0.145,0.042,0.00,0.055,0.244,0.003,0.006,0.113,311
Client  59,0.013,0.019,0.044,0.095,0.321,0.00,0.035,0.235,0.070,0.168,315
Client  60,0.037,0.003,0.00,0.013,0.187,0.080,0.043,0.174,0.462,0.00,299
Client  61,0.186,0.349,0.051,0.173,0.240,0.00,0.00,0.00,0.00,0.00,312
Client  62,0.004,0.016,0.272,0.016,0.027,0.004,0.545,0.004,0.019,0.093,257
Client  63,0.574,0.015,0.131,0.009,0.271,0.00,0.00,0.00,0.00,0.00,343
Client  64,0.546,0.005,0.123,0.326,0.00,0.00,0.00,0.00,0.00,0.00,390
Client  65,0.00,0.041,0.083,0.025,0.041,0.471,0.050,0.107,0.165,0.017,121
Client  66,0.108,0.018,0.091,0.120,0.003,0.035,0.275,0.351,0.00,0.00,342
Client  67,0.011,0.013,0.023,0.011,0.015,0.200,0.127,0.082,0.00,0.519,474
Client  68,0.059,0.003,0.038,0.101,0.354,0.031,0.351,0.059,0.00,0.003,288
Client  69,0.022,0.025,0.028,0.091,0.003,0.044,0.028,0.224,0.060,0.473,317
Client  70,0.324,0.054,0.003,0.068,0.102,0.026,0.026,0.398,0.00,0.00,352
Client  71,0.008,0.022,0.189,0.00,0.265,0.003,0.022,0.111,0.381,0.00,370
Client  72,0.013,0.033,0.482,0.033,0.092,0.003,0.050,0.00,0.294,0.00,303
Client  73,0.070,0.261,0.013,0.057,0.038,0.006,0.102,0.00,0.414,0.038,157
Client  74,0.113,0.063,0.003,0.097,0.330,0.080,0.040,0.00,0.020,0.253,300
Client  75,0.025,0.263,0.241,0.247,0.035,0.025,0.003,0.016,0.060,0.085,316
Client  76,0.011,0.00,0.00,0.132,0.095,0.00,0.005,0.063,0.222,0.471,189
Client  77,0.138,0.007,0.015,0.00,0.043,0.110,0.007,0.680,0.00,0.00,400
Client  78,0.068,0.014,0.049,0.092,0.056,0.00,0.002,0.238,0.00,0.480,425
Client  79,0.615,0.204,0.055,0.015,0.004,0.076,0.018,0.011,0.00,0.004,275
Client  80,0.043,0.242,0.003,0.006,0.016,0.578,0.112,0.00,0.00,0.00,322
Client  81,0.016,0.019,0.054,0.003,0.635,0.273,0.00,0.00,0.00,0.00,315
Client  82,0.066,0.003,0.003,0.271,0.132,0.124,0.008,0.395,0.00,0.00,380
Client  83,0.217,0.085,0.171,0.039,0.047,0.047,0.124,0.004,0.178,0.089,258
Client  84,0.207,0.002,0.011,0.070,0.095,0.00,0.072,0.543,0.00,0.00,444
Client  85,0.109,0.00,0.297,0.080,0.011,0.031,0.140,0.331,0.00,0.00,350
Client  86,0.013,0.025,0.003,0.170,0.060,0.256,0.110,0.038,0.016,0.309,317
Client  87,0.173,0.205,0.012,0.035,0.263,0.047,0.266,0.00,0.00,0.00,342
Client  88,0.006,0.316,0.412,0.009,0.050,0.206,0.00,0.00,0.00,0.00,320
Client  89,0.070,0.099,0.006,0.094,0.009,0.137,0.00,0.129,0.456,0.00,342
Client  90,0.00,0.00,0.106,0.162,0.012,0.050,0.019,0.146,0.505,0.00,321
Client  91,0.277,0.132,0.264,0.00,0.034,0.068,0.055,0.051,0.119,0.00,235
Client  92,0.002,0.051,0.022,0.268,0.015,0.005,0.002,0.007,0.044,0.584,411
Client  93,0.027,0.720,0.180,0.017,0.040,0.007,0.010,0.00,0.00,0.00,300
Client  94,0.004,0.269,0.004,0.243,0.306,0.127,0.00,0.00,0.045,0.004,268
Client  95,0.011,0.220,0.006,0.283,0.209,0.011,0.00,0.077,0.183,0.00,350
Client  96,0.274,0.064,0.210,0.171,0.006,0.009,0.00,0.034,0.043,0.189,328
Client  97,0.047,0.264,0.024,0.033,0.396,0.175,0.005,0.00,0.009,0.047,212
Client  98,0.194,0.029,0.012,0.00,0.141,0.194,0.047,0.006,0.029,0.347,170
Client  99,0.020,0.054,0.085,0.168,0.119,0.003,0.179,0.119,0.034,0.219,352
Client 100,0.160,0.132,0.004,0.00,0.00,0.134,0.210,0.002,0.357,0.00,462
Client 101,0.006,0.121,0.00,0.003,0.410,0.014,0.003,0.00,0.178,0.266,354
Client 102,0.178,0.470,0.010,0.030,0.020,0.074,0.00,0.045,0.158,0.015,202
Client 103,0.020,0.066,0.114,0.011,0.059,0.048,0.320,0.016,0.345,0.00,440
Client 104,0.083,0.005,0.350,0.044,0.223,0.005,0.063,0.00,0.058,0.170,206
Client 105,0.154,0.088,0.100,0.003,0.414,0.088,0.006,0.003,0.00,0.145,331
Client 106,0.040,0.004,0.043,0.011,0.266,0.083,0.022,0.004,0.245,0.284,278
Client 107,0.198,0.00,0.003,0.058,0.126,0.242,0.00,0.003,0.00,0.369,293
Client 108,0.00,0.135,0.708,0.00,0.003,0.155,0.00,0.00,0.00,0.00,342
Client 109,0.138,0.015,0.032,0.126,0.120,0.569,0.00,0.00,0.00,0.00,341
Client 110,0.013,0.195,0.060,0.170,0.013,0.365,0.00,0.013,0.173,0.00,318
Client 111,0.037,0.217,0.127,0.056,0.046,0.415,0.015,0.087,0.00,0.00,323
Client 112,0.020,0.075,0.00,0.095,0.177,0.256,0.069,0.056,0.252,0.00,305
Client 113,0.074,0.391,0.047,0.00,0.028,0.023,0.005,0.00,0.014,0.419,215
Client 114,0.273,0.127,0.600,0.00,0.00,0.00,0.00,0.00,0.00,0.00,472
Client 115,0.013,0.107,0.615,0.047,0.057,0.022,0.139,0.00,0.00,0.00,317
Client 116,0.128,0.057,0.114,0.019,0.180,0.024,0.071,0.190,0.005,0.213,211
Client 117,0.287,0.035,0.00,0.257,0.047,0.012,0.082,0.041,0.234,0.006,171
Client 118,0.055,0.399,0.006,0.003,0.00,0.00,0.111,0.122,0.305,0.00,361
Client 119,0.113,0.205,0.046,0.104,0.113,0.003,0.297,0.034,0.086,0.00,327
Client 120,0.183,0.183,0.00,0.106,0.183,0.254,0.003,0.087,0.00,0.00,311
Client 121,0.063,0.020,0.245,0.028,0.004,0.146,0.028,0.004,0.134,0.328,253
Client 122,0.227,0.00,0.056,0.023,0.026,0.668,0.00,0.00,0.00,0.00,304
Client 123,0.00,0.048,0.010,0.269,0.365,0.048,0.250,0.00,0.00,0.010,104
Client 124,0.007,0.170,0.028,0.546,0.007,0.092,0.064,0.00,0.064,0.021,141
Client 125,0.018,0.002,0.002,0.021,0.005,0.128,0.192,0.049,0.00,0.583,609
Client 126,0.087,0.071,0.00,0.007,0.014,0.117,0.269,0.002,0.099,0.333,435
Client 127,0.057,0.175,0.036,0.209,0.128,0.036,0.014,0.346,0.00,0.00,422
Client 128,0.490,0.00,0.321,0.003,0.033,0.030,0.010,0.083,0.030,0.00,302
Client 129,0.028,0.306,0.009,0.475,0.056,0.127,0.00,0.00,0.00,0.00,324
Client 130,0.00,0.00,0.051,0.019,0.00,0.250,0.319,0.218,0.134,0.009,216
Client 131,0.007,0.087,0.007,0.047,0.007,0.389,0.034,0.034,0.369,0.020,149
Client 132,0.026,0.00,0.00,0.078,0.042,0.062,0.042,0.385,0.156,0.208,192
Client 133,0.019,0.172,0.038,0.207,0.045,0.019,0.016,0.283,0.201,0.00,314
Client 134,0.157,0.185,0.276,0.00,0.013,0.016,0.113,0.241,0.00,0.00,319
Client 135,0.121,0.159,0.040,0.010,0.005,0.00,0.002,0.010,0.048,0.606,421
Client 136,0.078,0.003,0.207,0.045,0.003,0.021,0.180,0.003,0.003,0.456,333
Client 137,0.052,0.012,0.020,0.209,0.029,0.087,0.00,0.003,0.264,0.325,345
Client 138,0.163,0.326,0.074,0.296,0.015,0.00,0.015,0.044,0.00,0.067,135
Client 139,0.004,0.008,0.008,0.114,0.119,0.017,0.246,0.008,0.284,0.191,236
Client 140,0.005,0.111,0.00,0.069,0.180,0.026,0.069,0.185,0.270,0.085,189
Client 141,0.009,0.009,0.064,0.172,0.012,0.307,0.034,0.003,0.046,0.344,326
Client 142,0.004,0.258,0.445,0.031,0.020,0.004,0.027,0.043,0.141,0.027,256
Client 143,0.014,0.00,0.007,0.022,0.300,0.130,0.011,0.516,0.00,0.00,554
Client 144,0.198,0.00,0.006,0.457,0.031,0.025,0.037,0.012,0.185,0.049,162
Client 145,0.023,0.016,0.00,0.171,0.039,0.023,0.147,0.116,0.093,0.372,129
Client 146,0.017,0.00,0.040,0.159,0.676,0.051,0.006,0.00,0.006,0.045,176
Client 147,0.003,0.142,0.016,0.544,0.177,0.051,0.066,0.00,0.00,0.00,316
Client 148,0.007,0.595,0.003,0.199,0.046,0.105,0.046,0.00,0.00,0.00,306
Client 149,0.026,0.00,0.010,0.083,0.026,0.151,0.510,0.109,0.005,0.078,192
Client 150,0.030,0.050,0.059,0.047,0.228,0.332,0.006,0.027,0.220,0.00,337
Client 151,0.00,0.168,0.121,0.038,0.431,0.006,0.237,0.00,0.00,0.00,346
Client 152,0.156,0.004,0.126,0.159,0.011,0.026,0.004,0.448,0.030,0.037,270
Client 153,0.006,0.114,0.675,0.102,0.018,0.006,0.030,0.012,0.012,0.024,166
Client 154,0.021,0.075,0.069,0.096,0.012,0.147,0.222,0.251,0.108,0.00,334
Client 155,0.016,0.059,0.217,0.556,0.086,0.066,0.00,0.00,0.00,0.00,304
Client 156,0.00,0.051,0.071,0.518,0.012,0.051,0.004,0.111,0.182,0.00,253
Client 157,0.00,0.063,0.042,0.006,0.276,0.168,0.006,0.282,0.156,0.00,333
Client 158,0.009,0.00,0.081,0.081,0.135,0.171,0.018,0.063,0.045,0.396,111
Client 159,0.363,0.373,0.117,0.020,0.030,0.087,0.010,0.00,0.00,0.00,300
Client 160,0.060,0.025,0.019,0.411,0.316,0.070,0.098,0.00,0.00,0.00,316
Client 161,0.008,0.038,0.00,0.113,0.135,0.053,0.015,0.045,0.015,0.579,133
Client 162,0.273,0.015,0.00,0.005,0.107,0.044,0.020,0.005,0.093,0.439,205
Client 163,0.008,0.025,0.005,0.127,0.277,0.231,0.043,0.008,0.003,0.274,394
Client 164,0.065,0.013,0.039,0.016,0.052,0.183,0.007,0.222,0.402,0.00,306
Client 165,0.024,0.009,0.176,0.085,0.027,0.568,0.109,0.00,0.00,0.00,329
Client 166,0.079,0.040,0.083,0.277,0.031,0.002,0.025,0.463,0.00,0.00,480
Client 167,0.021,0.017,0.183,0.116,0.006,0.039,0.035,0.024,0.560,0.00,536
Client 168,0.342,0.005,0.009,0.645,0.00,0.00,0.00,0.00,0.00,0.00,439
Client 169,0.250,0.025,0.079,0.021,0.008,0.400,0.096,0.00,0.100,0.021,240
Client 170,0.113,0.004,0.277,0.070,0.301,0.176,0.047,0.004,0.00,0.008,256
Client 171,0.00,0.095,0.159,0.005,0.191,0.223,0.00,0.018,0.009,0.300,220
Client 172,0.003,0.023,0.386,0.145,0.00,0.249,0.194,0.00,0.00,0.00,345
Client 173,0.092,0.079,0.007,0.020,0.026,0.053,0.191,0.388,0.013,0.132,152
Client 174,0.039,0.012,0.004,0.008,0.173,0.004,0.745,0.012,0.004,0.00,255
Client 175,0.019,0.004,0.004,0.00,0.340,0.127,0.146,0.194,0.146,0.022,268
Client 176,0.048,0.003,0.131,0.073,0.018,0.051,0.202,0.139,0.336,0.00,396
Client 177,0.083,0.151,0.029,0.004,0.110,0.137,0.029,0.029,0.097,0.330,445
Client 178,0.339,0.053,0.024,0.033,0.008,0.016,0.012,0.078,0.302,0.135,245
Client 179,0.059,0.123,0.068,0.095,0.259,0.055,0.077,0.009,0.073,0.182,220
Client 180,0.023,0.467,0.003,0.043,0.061,0.003,0.00,0.033,0.074,0.294,394
Client 181,0.365,0.017,0.030,0.00,0.017,0.097,0.328,0.013,0.134,0.00,299
Client 182,0.012,0.048,0.002,0.023,0.023,0.232,0.00,0.186,0.00,0.474,483
Client 183,0.148,0.103,0.531,0.004,0.033,0.021,0.00,0.049,0.111,0.00,243
Client 184,0.011,0.087,0.332,0.027,0.029,0.070,0.103,0.341,0.00,0.00,446
Client 185,0.024,0.593,0.080,0.043,0.049,0.049,0.162,0.00,0.00,0.00,327
Client 186,0.154,0.006,0.00,0.053,0.053,0.030,0.355,0.071,0.00,0.278,169
Client 187,0.236,0.00,0.010,0.005,0.044,0.015,0.015,0.177,0.276,0.222,203
Client 188,0.006,0.025,0.003,0.00,0.003,0.363,0.025,0.022,0.553,0.00,322
Client 189,0.004,0.113,0.045,0.150,0.00,0.109,0.00,0.300,0.271,0.008,247
Client 190,0.003,0.00,0.193,0.021,0.202,0.012,0.261,0.083,0.226,0.00,337
Client 191,0.152,0.285,0.018,0.047,0.224,0.014,0.004,0.144,0.105,0.007,277
Client 192,0.093,0.301,0.074,0.041,0.052,0.004,0.011,0.052,0.026,0.346,269
Client 193,0.033,0.242,0.00,0.015,0.216,0.022,0.00,0.00,0.473,0.00,273
Client 194,0.128,0.548,0.003,0.115,0.016,0.059,0.131,0.00,0.00,0.00,305
Client 195,0.060,0.075,0.033,0.285,0.024,0.078,0.093,0.027,0.324,0.00,333
Client 196,0.00,0.139,0.005,0.102,0.00,0.005,0.016,0.118,0.567,0.048,187
Client 197,0.144,0.182,0.003,0.018,0.00,0.141,0.038,0.475,0.00,0.00,341
Client 198,0.132,0.161,0.016,0.297,0.103,0.003,0.029,0.00,0.058,0.200,310
Client 199,0.013,0.003,0.181,0.133,0.660,0.003,0.00,0.003,0.00,0.003,315
