Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1
Client  97,0.125,0.125,0.00,0.125,0.125,0.00,0.250,0.00,0.125,0.125,8
Client  98,0.080,0.105,0.111,0.086,0.099,0.114,0.090,0.130,0.108,0.077,324
Client  99,0.100,0.099,0.104,0.097,0.099,0.100,0.087,0.104,0.109,0.102,1603
Client 100,0.058,0.135,0.038,0.087,0.212,0.106,0.058,0.077,0.125,0.106,104
Client 101,0.097,0.116,0.085,0.101,0.110,0.086,0.104,0.097,0.108,0.097,753
Client 102,0.085,0.115,0.085,0.085,0.137,0.093,0.104,0.104,0.104,0.089,270
Client 103,0.107,0.083,0.118,0.083,0.089,0.178,0.095,0.071,0.041,0.136,169
Client 104,0.105,0.082,0.076,0.105,0.094,0.105,0.117,0.111,0.105,0.099,171
Client 105,0.093,0.114,0.067,0.104,0.098,0.130,0.098,0.114,0.073,0.109,193
Client 106,0.125,0.128,0.082,0.093,0.093,0.089,0.050,0.117,0.135,0.089,281
Client 107,0.00,0.00,0.167,0.500,0.00,0.00,0.00,0.00,0.167,0.167,6
Client 108,0.124,0.108,0.118,0.065,0.091,0.065,0.086,0.124,0.081,0.140,186
Client 109,0.00,0.333,0.00,0.00,0.00,0.333,0.00,0.333,0.00,0.00,3
Client 110,0.096,0.102,0.097,0.112,0.103,0.090,0.094,0.118,0.079,0.108,668
Client 111,0.100,0.100,0.071,0.100,0.114,0.100,0.086,0.086,0.086,0.157,70
Client 112,0.00,0.200,0.200,0.100,0.00,0.300,0.00,0.200,0.00,0.00,10
Client 113,0.110,0.119,0.084,0.113,0.107,0.116,0.081,0.064,0.099,0.107,345
Client 114,0.102,0.115,0.056,0.108,0.105,0.085,0.115,0.108,0.105,0.102,305
Client 115,0.085,0.107,0.074,0.099,0.096,0.062,0.114,0.129,0.114,0.121,272
Client 116,0.102,0.128,0.092,0.092,0.077,0.102,0.077,0.138,0.122,0.071,196
Client 117,0.080,0.115,0.126,0.080,0.126,0.069,0.069,0.103,0.161,0.069,87
Client 118,0.101,0.105,0.098,0.094,0.088,0.101,0.085,0.113,0.121,0.092,692
Client 119,0.091,0.091,0.182,0.091,0.00,0.091,0.091,0.182,0.00,0.182,11
Client 120,0.159,0.116,0.058,0.145,0.116,0.058,0.072,0.029,0.159,0.087,69
Client 121,0.106,0.087,0.087,0.116,0.095,0.106,0.120,0.087,0.112,0.083,482
Client 122,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,1
Client 123,0.099,0.104,0.125,0.094,0.109,0.083,0.078,0.099,0.094,0.115,192
Client 124,0.141,0.071,0.136,0.106,0.071,0.101,0.086,0.096,0.116,0.076,198
Client 125,0.173,0.038,0.058,0.077,0.212,0.096,0.135,0.038,0.058,0.115,52
Client 126,0.107,0.089,0.119,0.096,0.083,0.093,0.098,0.106,0.089,0.119,653
Client 127,0.111,0.111,0.111,0.00,0.222,0.00,0.333,0.111,0.00,0.00,9
Client 128,0.00,0.273,0.091,0.182,0.091,0.00,0.091,0.091,0.00,0.182,11
Client 129,0.083,0.083,0.098,0.106,0.098,0.091,0.129,0.106,0.098,0.106,132
Client 130,0.124,0.076,0.086,0.105,0.124,0.086,0.124,0.057,0.143,0.076,105
Client 131,0.090,0.117,0.090,0.110,0.097,0.124,0.110,0.083,0.083,0.097,145
Client 132,0.074,0.037,0.111,0.111,0.259,0.148,0.037,0.111,0.037,0.074,27
Client 133,0.101,0.106,0.090,0.099,0.099,0.091,0.091,0.121,0.084,0.118,536
Client 134,0.075,0.130,0.083,0.114,0.094,0.106,0.079,0.091,0.114,0.114,254
Client 135,0.167,0.00,0.167,0.167,0.167,0.167,0.167,0.00,0.00,0.00,6
Client 136,0.032,0.161,0.129,0.097,0.097,0.226,0.097,0.129,0.00,0.032,31
Client 137,0.150,0.100,0.200,0.00,0.150,0.100,0.00,0.100,0.050,0.150,20
Client 138,0.113,0.118,0.113,0.113,0.111,0.069,0.081,0.085,0.097,0.099,433
Client 139,0.145,0.072,0.130,0.116,0.043,0.072,0.159,0.087,0.116,0.058,69
Client 140,0.122,0.128,0.128,0.098,0.104,0.049,0.091,0.104,0.104,0.073,164
Client 141,0.131,0.061,0.081,0.114,0.131,0.120,0.106,0.097,0.089,0.070,359
Client 142,0.101,0.099,0.115,0.075,0.108,0.113,0.085,0.096,0.116,0.092,585
Client 143,0.099,0.094,0.098,0.106,0.103,0.100,0.104,0.091,0.109,0.096,1277
Client 144,0.107,0.095,0.107,0.095,0.155,0.071,0.071,0.060,0.083,0.155,84
Client 145,0.148,0.141,0.074,0.119,0.096,0.074,0.067,0.089,0.096,0.096,135
Client 146,0.097,0.065,0.129,0.097,0.129,0.065,0.097,0.065,0.129,0.129,31
Client 147,0.100,0.129,0.105,0.090,0.071,0.086,0.110,0.100,0.081,0.129,210
Client 148,0.048,0.071,0.048,0.071,0.214,0.095,0.214,0.071,0.071,0.095,42
Client 149,0.128,0.101,0.147,0.055,0.119,0.083,0.101,0.128,0.046,0.092,109
Client 150,0.123,0.105,0.087,0.073,0.100,0.064,0.128,0.114,0.114,0.091,219
Client 151,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,2
Client 152,0.116,0.071,0.106,0.096,0.071,0.111,0.106,0.096,0.091,0.136,198
Client 153,0.125,0.031,0.219,0.031,0.062,0.094,0.094,0.062,0.188,0.094,32
Client 154,0.067,0.133,0.067,0.00,0.133,0.200,0.133,0.067,0.133,0.067,30
Client 155,0.079,0.132,0.132,0.105,0.158,0.053,0.184,0.026,0.026,0.105,38
Client 156,0.084,0.096,0.108,0.120,0.108,0.084,0.084,0.084,0.120,0.108,83
Client 157,0.068,0.081,0.162,0.095,0.041,0.149,0.108,0.095,0.095,0.108,74
Client 158,0.092,0.096,0.127,0.103,0.110,0.097,0.103,0.105,0.078,0.089,1262
Client 159,0.034,0.069,0.207,0.103,0.103,0.069,0.207,0.069,0.103,0.034,29
Client 160,0.176,0.088,0.088,0.059,0.059,0.235,0.088,0.088,0.088,0.029,34
Client 161,0.052,0.127,0.119,0.104,0.075,0.149,0.075,0.112,0.112,0.075,134
Client 162,0.125,0.00,0.125,0.00,0.125,0.00,0.00,0.00,0.125,0.500,8
Client 163,0.085,0.073,0.098,0.037,0.134,0.085,0.134,0.122,0.122,0.110,82
Client 164,0.091,0.080,0.125,0.057,0.080,0.102,0.136,0.182,0.091,0.057,88
Client 165,0.058,0.111,0.111,0.101,0.121,0.097,0.087,0.082,0.092,0.140,207
Client 166,0.106,0.091,0.092,0.092,0.100,0.114,0.107,0.106,0.097,0.096,1475
Client 167,0.024,0.095,0.071,0.143,0.143,0.048,0.167,0.119,0.119,0.071,42
Client 168,0.109,0.121,0.097,0.087,0.101,0.099,0.099,0.093,0.093,0.103,496
Client 169,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,2
Client 170,0.080,0.040,0.00,0.080,0.160,0.080,0.200,0.160,0.120,0.080,25
Client 171,0.143,0.143,0.057,0.114,0.086,0.171,0.114,0.114,0.029,0.029,35
Client 172,0.043,0.087,0.130,0.217,0.130,0.130,0.043,0.043,0.043,0.130,23
Client 173,0.00,0.00,0.200,0.00,0.00,0.200,0.400,0.00,0.200,0.00,5
Client 174,0.086,0.075,0.104,0.111,0.100,0.082,0.122,0.108,0.086,0.125,279
Client 175,0.051,0.186,0.068,0.085,0.102,0.068,0.136,0.085,0.136,0.085,59
Client 176,0.017,0.121,0.034,0.121,0.121,0.121,0.172,0.086,0.103,0.103,58
Client 177,0.00,0.125,0.125,0.062,0.188,0.062,0.062,0.125,0.188,0.062,16
Client 178,0.086,0.104,0.096,0.102,0.091,0.109,0.104,0.099,0.109,0.100,1793
Client 179,0.157,0.097,0.104,0.112,0.082,0.075,0.060,0.127,0.104,0.082,134
Client 180,0.125,0.125,0.062,0.062,0.188,0.00,0.062,0.188,0.094,0.094,32
Client 181,0.148,0.074,0.111,0.074,0.074,0.111,0.074,0.074,0.148,0.111,27
Client 182,0.083,0.146,0.062,0.042,0.146,0.167,0.083,0.062,0.042,0.167,48
Client 183,0.104,0.084,0.088,0.101,0.104,0.141,0.101,0.098,0.091,0.088,297
Client 184,0.133,0.080,0.080,0.107,0.107,0.093,0.120,0.080,0.080,0.120,75
Client 185,0.050,0.100,0.200,0.00,0.150,0.100,0.250,0.00,0.00,0.150,20
Client 186,0.074,0.111,0.074,0.089,0.121,0.111,0.089,0.116,0.089,0.126,190
Client 187,0.075,0.129,0.086,0.140,0.118,0.086,0.097,0.075,0.118,0.075,93
Client 188,0.077,0.051,0.141,0.090,0.192,0.051,0.038,0.103,0.103,0.154,78
Client 189,0.081,0.106,0.125,0.094,0.131,0.094,0.125,0.075,0.087,0.081,160
Client 190,0.103,0.120,0.088,0.080,0.088,0.101,0.104,0.094,0.107,0.116,673
Client 191,0.143,0.143,0.143,0.143,0.143,0.00,0.00,0.143,0.143,0.00,7
Client 192,0.00,0.083,0.083,0.167,0.167,0.167,0.00,0.167,0.00,0.167,12
Client 193,0.087,0.077,0.109,0.098,0.104,0.129,0.100,0.099,0.108,0.090,808
Client 194,0.062,0.031,0.125,0.219,0.156,0.031,0.062,0.125,0.094,0.094,32
Client 195,0.123,0.055,0.164,0.041,0.055,0.041,0.151,0.178,0.096,0.096,73
Client 196,0.137,0.072,0.129,0.086,0.101,0.058,0.079,0.151,0.094,0.094,139
Client 197,0.087,0.087,0.043,0.043,0.217,0.087,0.087,0.043,0.174,0.130,23
Client 198,0.084,0.084,0.113,0.113,0.095,0.118,0.089,0.113,0.074,0.116,380
Client 199,0.00,0.00,0.00,0.00,0.00,0.333,0.00,0.00,0.333,0.333,3
