Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  28,0.100,0.00,0.200,0.100,0.100,0.200,0.100,0.00,0.200,0.00,10
Client  29,0.125,0.125,0.125,0.00,0.125,0.125,0.00,0.250,0.00,0.125,8
Client  30,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,1
Client  31,0.093,0.113,0.079,0.079,0.099,0.099,0.106,0.146,0.106,0.079,151
Client  32,0.093,0.120,0.093,0.101,0.088,0.096,0.114,0.095,0.107,0.094,1144
Client  33,0.107,0.105,0.105,0.104,0.118,0.078,0.107,0.098,0.090,0.088,645
Client  34,0.081,0.133,0.089,0.086,0.089,0.103,0.099,0.143,0.071,0.106,406
Client  35,0.099,0.110,0.118,0.102,0.079,0.115,0.099,0.097,0.092,0.089,382
Client  36,0.125,0.00,0.125,0.375,0.125,0.00,0.00,0.00,0.125,0.125,8
Client  37,0.095,0.108,0.095,0.041,0.054,0.081,0.108,0.162,0.176,0.081,74
Client  38,0.044,0.125,0.118,0.088,0.051,0.110,0.118,0.081,0.103,0.162,136
Client  39,0.120,0.070,0.139,0.070,0.095,0.120,0.082,0.095,0.120,0.089,158
Client  40,0.111,0.119,0.128,0.153,0.064,0.098,0.098,0.085,0.085,0.060,235
Client  41,0.094,0.116,0.087,0.116,0.115,0.096,0.099,0.087,0.090,0.101,670
Client  42,0.112,0.147,0.071,0.088,0.082,0.135,0.053,0.129,0.071,0.112,170
Client  43,0.095,0.075,0.101,0.126,0.098,0.112,0.070,0.092,0.109,0.123,358
Client  44,0.116,0.126,0.106,0.082,0.106,0.101,0.072,0.082,0.135,0.072,207
Client  45,0.099,0.125,0.090,0.087,0.078,0.096,0.119,0.116,0.110,0.081,335
Client  46,0.103,0.126,0.088,0.099,0.102,0.095,0.087,0.105,0.097,0.098,1162
Client  47,0.080,0.119,0.119,0.124,0.070,0.075,0.095,0.104,0.119,0.095,201
Client  48,0.118,0.086,0.140,0.022,0.108,0.065,0.118,0.118,0.108,0.118,93
Client  49,0.061,0.112,0.041,0.112,0.112,0.071,0.112,0.153,0.133,0.092,98
Client  50,0.00,0.333,0.167,0.00,0.167,0.00,0.167,0.167,0.00,0.00,6
Client  51,0.079,0.096,0.088,0.088,0.114,0.079,0.070,0.184,0.114,0.088,114
Client  52,0.130,0.043,0.043,0.261,0.087,0.087,0.043,0.217,0.043,0.043,23
Client  53,0.084,0.149,0.102,0.107,0.149,0.074,0.107,0.098,0.037,0.093,215
Client  54,0.106,0.116,0.086,0.146,0.066,0.106,0.081,0.126,0.051,0.116,198
Client  55,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,1
Client  56,0.00,0.167,0.167,0.00,0.167,0.00,0.333,0.167,0.00,0.00,6
Client  57,0.115,0.111,0.109,0.102,0.097,0.085,0.094,0.092,0.100,0.094,826
Client  58,0.105,0.116,0.105,0.105,0.095,0.063,0.084,0.158,0.053,0.116,95
Client  59,0.114,0.109,0.087,0.105,0.098,0.089,0.102,0.100,0.098,0.098,561
Client  60,0.111,0.126,0.087,0.092,0.098,0.070,0.111,0.101,0.106,0.098,714
Client  61,0.025,0.275,0.00,0.125,0.075,0.100,0.050,0.125,0.100,0.125,40
Client  62,0.136,0.109,0.091,0.091,0.100,0.091,0.136,0.073,0.082,0.091,110
Client  63,0.108,0.112,0.095,0.105,0.091,0.083,0.088,0.109,0.104,0.104,713
Client  64,0.130,0.174,0.043,0.087,0.217,0.087,0.043,0.087,0.087,0.043,23
Client  65,0.110,0.101,0.101,0.104,0.104,0.095,0.093,0.110,0.086,0.097,547
Client  66,0.135,0.089,0.098,0.098,0.086,0.101,0.072,0.109,0.115,0.098,348
Client  67,0.143,0.095,0.048,0.095,0.143,0.095,0.238,0.048,0.048,0.048,21
Client  68,0.081,0.110,0.101,0.106,0.107,0.091,0.092,0.102,0.085,0.125,1098
Client  69,0.086,0.103,0.086,0.121,0.069,0.069,0.121,0.155,0.086,0.103,58
Client  70,0.089,0.093,0.078,0.093,0.122,0.074,0.141,0.096,0.111,0.104,270
Client  71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,1
Client  72,0.125,0.125,0.125,0.250,0.00,0.00,0.125,0.125,0.125,0.00,8
Client  73,0.075,0.100,0.150,0.075,0.075,0.100,0.050,0.100,0.175,0.100,40
Client  74,0.095,0.048,0.095,0.095,0.095,0.190,0.048,0.048,0.143,0.143,21
Client  75,0.100,0.100,0.100,0.078,0.111,0.111,0.067,0.089,0.089,0.156,90
Client  76,0.00,0.087,0.130,0.087,0.043,0.130,0.087,0.174,0.130,0.130,23
Client  77,0.093,0.130,0.102,0.102,0.130,0.093,0.093,0.074,0.065,0.120,108
Client  78,0.142,0.073,0.102,0.102,0.087,0.113,0.087,0.113,0.091,0.091,275
Client  79,0.058,0.138,0.076,0.133,0.089,0.080,0.147,0.093,0.120,0.067,225
Client  80,0.102,0.126,0.112,0.098,0.112,0.074,0.105,0.070,0.105,0.095,285
Client  81,0.088,0.118,0.147,0.088,0.118,0.059,0.088,0.029,0.147,0.118,34
Client  82,0.074,0.158,0.070,0.074,0.118,0.103,0.099,0.118,0.110,0.077,272
Client  83,0.164,0.119,0.075,0.104,0.104,0.075,0.134,0.045,0.104,0.075,67
Client  84,0.094,0.110,0.118,0.091,0.088,0.104,0.111,0.099,0.074,0.111,1068
Client  85,0.00,0.100,0.00,0.200,0.100,0.100,0.100,0.300,0.100,0.00,10
Client  86,0.061,0.097,0.085,0.097,0.133,0.139,0.097,0.109,0.115,0.067,165
Client  87,0.101,0.123,0.101,0.100,0.114,0.073,0.095,0.108,0.089,0.095,641
Client  88,0.100,0.107,0.090,0.106,0.099,0.091,0.092,0.117,0.088,0.109,1009
Client  89,0.114,0.105,0.081,0.130,0.096,0.099,0.087,0.114,0.078,0.093,332
Client  90,0.093,0.105,0.084,0.142,0.130,0.075,0.102,0.072,0.081,0.114,332
Client  91,0.079,0.125,0.130,0.121,0.097,0.073,0.093,0.084,0.093,0.104,546
Client  92,0.097,0.085,0.113,0.121,0.113,0.102,0.094,0.094,0.099,0.083,577
Client  93,0.092,0.123,0.094,0.121,0.087,0.094,0.070,0.130,0.094,0.094,414
Client  94,0.092,0.118,0.097,0.092,0.115,0.087,0.118,0.084,0.097,0.100,381
Client  95,0.097,0.151,0.075,0.124,0.054,0.097,0.081,0.097,0.070,0.156,186
Client  96,0.100,0.133,0.033,0.167,0.067,0.100,0.233,0.033,0.067,0.067,30
Client  97,0.114,0.069,0.074,0.131,0.063,0.137,0.057,0.149,0.080,0.126,175
Client  98,0.250,0.250,0.250,0.00,0.00,0.00,0.00,0.250,0.00,0.00,4
Client  99,0.097,0.101,0.087,0.105,0.087,0.079,0.098,0.129,0.104,0.112,712
Client 100,0.081,0.054,0.297,0.108,0.081,0.108,0.081,0.054,0.027,0.108,37
Client 101,0.134,0.093,0.090,0.099,0.081,0.099,0.110,0.090,0.096,0.108,344
Client 102,0.069,0.134,0.112,0.072,0.125,0.075,0.103,0.087,0.128,0.097,321
Client 103,0.055,0.110,0.090,0.124,0.117,0.090,0.124,0.117,0.090,0.083,145
Client 104,0.094,0.133,0.093,0.087,0.093,0.100,0.101,0.111,0.092,0.096,1366
Client 105,0.101,0.114,0.096,0.108,0.114,0.098,0.091,0.091,0.114,0.073,572
Client 106,0.133,0.133,0.111,0.044,0.067,0.067,0.089,0.067,0.111,0.178,45
Client 107,0.129,0.097,0.097,0.065,0.129,0.097,0.129,0.065,0.032,0.161,31
Client 108,0.105,0.073,0.115,0.106,0.098,0.092,0.078,0.120,0.109,0.103,641
Client 109,0.098,0.098,0.122,0.122,0.049,0.146,0.049,0.122,0.098,0.098,41
Client 110,0.094,0.112,0.096,0.103,0.099,0.095,0.088,0.110,0.088,0.114,1156
Client 111,0.093,0.122,0.099,0.076,0.110,0.094,0.101,0.113,0.093,0.098,1267
Client 112,0.143,0.00,0.00,0.143,0.00,0.00,0.429,0.143,0.143,0.00,7
Client 113,0.00,0.00,0.333,0.00,0.00,0.333,0.00,0.00,0.333,0.00,3
Client 114,0.096,0.099,0.102,0.115,0.083,0.105,0.070,0.118,0.080,0.134,314
Client 115,0.104,0.115,0.097,0.104,0.113,0.089,0.111,0.104,0.081,0.082,1024
Client 116,0.102,0.118,0.118,0.126,0.039,0.102,0.118,0.118,0.087,0.071,127
Client 117,0.181,0.085,0.074,0.160,0.085,0.085,0.074,0.074,0.074,0.106,94
Client 118,0.126,0.097,0.107,0.097,0.087,0.117,0.107,0.117,0.087,0.058,103
Client 119,0.080,0.143,0.080,0.080,0.088,0.075,0.110,0.120,0.118,0.105,399
Client 120,0.127,0.099,0.099,0.094,0.142,0.080,0.075,0.071,0.104,0.108,212
Client 121,0.106,0.128,0.085,0.064,0.064,0.085,0.149,0.149,0.149,0.021,47
Client 122,0.091,0.112,0.107,0.121,0.108,0.073,0.070,0.097,0.108,0.113,618
Client 123,0.075,0.091,0.123,0.112,0.080,0.128,0.128,0.102,0.086,0.075,187
Client 124,0.037,0.00,0.037,0.00,0.148,0.185,0.185,0.259,0.074,0.074,27
Client 125,0.058,0.058,0.101,0.130,0.116,0.058,0.116,0.174,0.072,0.116,69
Client 126,0.083,0.083,0.083,0.125,0.042,0.042,0.042,0.208,0.250,0.042,24
Client 127,0.028,0.160,0.085,0.123,0.075,0.104,0.113,0.047,0.151,0.113,106
Client 128,0.273,0.091,0.091,0.091,0.091,0.00,0.182,0.091,0.00,0.091,11
Client 129,0.129,0.129,0.093,0.086,0.164,0.043,0.143,0.064,0.079,0.071,140
Client 130,0.079,0.140,0.088,0.096,0.079,0.114,0.079,0.132,0.088,0.105,114
Client 131,0.092,0.116,0.131,0.092,0.095,0.086,0.086,0.080,0.113,0.107,336
Client 132,0.075,0.132,0.075,0.075,0.085,0.123,0.085,0.151,0.094,0.104,106
Client 133,0.111,0.126,0.095,0.094,0.110,0.095,0.089,0.100,0.094,0.087,1428
Client 134,0.092,0.125,0.107,0.095,0.082,0.091,0.095,0.120,0.100,0.093,1116
Client 135,0.053,0.263,0.053,0.105,0.105,0.105,0.00,0.105,0.158,0.053,19
Client 136,0.099,0.099,0.091,0.103,0.109,0.087,0.100,0.103,0.106,0.103,669
Client 137,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,1
Client 138,0.105,0.211,0.105,0.105,0.211,0.00,0.105,0.053,0.053,0.053,19
Client 139,0.092,0.092,0.126,0.084,0.084,0.076,0.118,0.101,0.109,0.118,119
Client 140,0.093,0.081,0.115,0.106,0.086,0.106,0.113,0.102,0.104,0.093,442
Client 141,0.085,0.105,0.085,0.113,0.113,0.091,0.116,0.099,0.093,0.099,353
Client 142,0.109,0.111,0.093,0.082,0.114,0.088,0.116,0.093,0.086,0.108,613
Client 143,0.084,0.168,0.042,0.126,0.137,0.084,0.074,0.126,0.074,0.084,95
Client 144,0.099,0.108,0.105,0.096,0.084,0.084,0.099,0.127,0.118,0.080,323
Client 145,0.118,0.129,0.100,0.111,0.090,0.082,0.086,0.097,0.097,0.090,279
Client 146,0.131,0.095,0.090,0.081,0.108,0.095,0.099,0.068,0.104,0.131,222
Client 147,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,0.00,1
Client 148,0.103,0.138,0.172,0.138,0.069,0.103,0.069,0.00,0.069,0.138,29
Client 149,0.127,0.127,0.071,0.095,0.063,0.063,0.103,0.095,0.103,0.151,126
Client 150,0.113,0.104,0.142,0.113,0.047,0.085,0.066,0.113,0.160,0.057,106
Client 151,0.096,0.092,0.113,0.092,0.071,0.151,0.079,0.109,0.121,0.075,239
Client 152,0.093,0.137,0.083,0.088,0.103,0.083,0.127,0.118,0.103,0.064,204
Client 153,0.102,0.086,0.156,0.047,0.117,0.094,0.133,0.078,0.109,0.078,128
Client 154,0.200,0.200,0.200,0.00,0.00,0.00,0.200,0.00,0.200,0.00,5
Client 155,0.115,0.115,0.038,0.154,0.038,0.115,0.115,0.077,0.115,0.115,26
Client 156,0.176,0.088,0.059,0.059,0.147,0.176,0.088,0.059,0.147,0.00,34
Client 157,0.00,0.200,0.00,0.100,0.100,0.200,0.200,0.00,0.200,0.00,10
Client 158,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,2
Client 159,0.104,0.105,0.097,0.099,0.083,0.104,0.102,0.106,0.087,0.114,1437
Client 160,0.100,0.104,0.104,0.109,0.084,0.093,0.098,0.110,0.096,0.101,2599
Client 161,0.149,0.079,0.096,0.114,0.088,0.035,0.114,0.079,0.096,0.149,114
Client 162,0.093,0.120,0.101,0.089,0.097,0.081,0.128,0.097,0.112,0.081,258
Client 163,0.106,0.112,0.128,0.117,0.117,0.059,0.085,0.096,0.080,0.101,188
Client 164,0.110,0.100,0.110,0.130,0.060,0.090,0.100,0.080,0.100,0.120,100
Client 165,0.105,0.112,0.111,0.097,0.097,0.087,0.085,0.093,0.107,0.106,889
Client 166,0.076,0.145,0.103,0.138,0.083,0.083,0.090,0.062,0.090,0.131,145
Client 167,0.165,0.103,0.093,0.124,0.124,0.144,0.072,0.103,0.031,0.041,97
Client 168,0.083,0.097,0.097,0.097,0.097,0.083,0.076,0.138,0.124,0.110,145
Client 169,0.085,0.042,0.056,0.197,0.085,0.099,0.056,0.099,0.099,0.183,71
Client 170,0.094,0.120,0.103,0.095,0.102,0.100,0.088,0.110,0.105,0.083,1247
Client 171,0.097,0.097,0.00,0.083,0.139,0.069,0.069,0.139,0.194,0.111,72
Client 172,0.134,0.102,0.071,0.079,0.102,0.118,0.134,0.102,0.055,0.102,127
Client 173,0.105,0.105,0.110,0.116,0.110,0.093,0.087,0.087,0.081,0.105,172
Client 174,0.083,0.071,0.107,0.167,0.119,0.095,0.095,0.095,0.083,0.083,84
Client 175,0.097,0.042,0.083,0.111,0.181,0.056,0.125,0.069,0.097,0.139,72
Client 176,0.093,0.067,0.103,0.137,0.090,0.080,0.130,0.110,0.110,0.080,300
Client 177,0.101,0.073,0.156,0.119,0.037,0.128,0.092,0.083,0.119,0.092,109
Client 178,0.105,0.127,0.105,0.109,0.093,0.086,0.095,0.098,0.093,0.089,440
Client 179,0.070,0.098,0.063,0.133,0.126,0.091,0.112,0.091,0.098,0.119,143
Client 180,0.080,0.124,0.091,0.119,0.097,0.058,0.119,0.099,0.094,0.119,362
Client 181,0.167,0.042,0.125,0.125,0.042,0.125,0.083,0.167,0.042,0.083,24
Client 182,0.076,0.118,0.072,0.101,0.105,0.076,0.143,0.135,0.080,0.093,237
Client 183,0.250,0.050,0.050,0.100,0.150,0.00,0.050,0.150,0.150,0.050,20
Client 184,0.088,0.085,0.101,0.117,0.096,0.075,0.109,0.091,0.109,0.130,386
Client 185,0.100,0.120,0.111,0.101,0.085,0.089,0.088,0.100,0.109,0.096,1214
Client 186,0.117,0.143,0.104,0.091,0.104,0.052,0.065,0.104,0.104,0.117,77
Client 187,0.083,0.00,0.083,0.167,0.333,0.083,0.083,0.083,0.00,0.083,12
Client 188,0.088,0.093,0.119,0.104,0.073,0.104,0.124,0.109,0.083,0.104,193
Client 189,0.093,0.111,0.078,0.102,0.105,0.090,0.114,0.123,0.108,0.072,332
Client 190,0.090,0.088,0.097,0.131,0.119,0.097,0.107,0.090,0.068,0.112,411
Client 191,0.154,0.087,0.125,0.048,0.048,0.038,0.125,0.163,0.125,0.087,104
Client 192,0.111,0.222,0.093,0.093,0.056,0.019,0.093,0.111,0.074,0.130,54
Client 193,0.125,0.106,0.111,0.111,0.092,0.078,0.094,0.097,0.069,0.117,360
Client 194,0.116,0.104,0.077,0.110,0.085,0.068,0.104,0.124,0.101,0.110,517
Client 195,0.250,0.00,0.00,0.250,0.250,0.00,0.250,0.00,0.00,0.00,4
Client 196,0.143,0.00,0.143,0.143,0.286,0.071,0.00,0.143,0.071,0.00,14
Client 197,0.143,0.143,0.00,0.143,0.00,0.143,0.143,0.143,0.00,0.143,7
Client 198,0.103,0.094,0.097,0.116,0.094,0.109,0.085,0.116,0.103,0.082,329
Client 199,0.093,0.104,0.106,0.086,0.109,0.079,0.104,0.112,0.100,0.107,1649
