Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client  52,0.00,0.213,0.382,0.048,0.324,0.034,0.00,0.00,0.00,0.00,207
Client  53,0.026,0.125,0.00,0.059,0.039,0.007,0.013,0.007,0.013,0.711,152
Client  54,0.343,0.657,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,347
Client  55,0.229,0.005,0.098,0.029,0.234,0.171,0.151,0.034,0.049,0.00,205
Client  56,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245
Client  57,0.018,0.339,0.064,0.00,0.018,0.073,0.046,0.376,0.009,0.055,109
Client  58,0.516,0.032,0.011,0.168,0.00,0.232,0.00,0.011,0.032,0.00,95
Client  59,0.505,0.019,0.037,0.220,0.014,0.005,0.009,0.00,0.098,0.093,214
Client  60,0.164,0.045,0.459,0.135,0.197,0.00,0.00,0.00,0.00,0.00,244
Client  61,0.221,0.318,0.009,0.300,0.065,0.088,0.00,0.00,0.00,0.00,217
Client  62,0.013,0.397,0.064,0.077,0.128,0.013,0.090,0.013,0.179,0.026,78
Client  63,0.00,0.00,0.00,0.155,0.337,0.00,0.022,0.011,0.464,0.011,181
Client  64,0.00,0.286,0.059,0.008,0.252,0.034,0.00,0.067,0.008,0.286,119
Client  65,0.012,0.075,0.029,0.052,0.006,0.468,0.064,0.225,0.012,0.058,173
Client  66,0.400,0.078,0.090,0.004,0.184,0.024,0.041,0.180,0.00,0.00,245
Client  67,0.047,0.00,0.00,0.035,0.520,0.012,0.00,0.216,0.111,0.058,171
Client  68,0.016,0.060,0.005,0.678,0.115,0.038,0.011,0.060,0.016,0.00,183
Client  69,0.004,0.166,0.058,0.390,0.381,0.00,0.00,0.00,0.00,0.00,223
Client  70,0.00,0.077,0.013,0.910,0.00,0.00,0.00,0.00,0.00,0.00,312
Client  71,0.144,0.172,0.014,0.00,0.670,0.00,0.00,0.00,0.00,0.00,361
Client  72,0.032,0.295,0.427,0.245,0.00,0.00,0.00,0.00,0.00,0.00,220
Client  73,0.00,0.303,0.118,0.033,0.283,0.007,0.020,0.026,0.053,0.158,152
Client  74,0.005,0.028,0.014,0.278,0.160,0.401,0.061,0.00,0.005,0.047,212
Client  75,0.095,0.041,0.245,0.177,0.082,0.170,0.034,0.014,0.00,0.143,147
Client  76,0.362,0.00,0.006,0.311,0.288,0.011,0.00,0.006,0.00,0.017,177
Client  77,0.015,0.138,0.004,0.162,0.223,0.031,0.038,0.058,0.331,0.00,260
Client  78,0.093,0.150,0.121,0.150,0.179,0.00,0.150,0.143,0.00,0.014,140
Client  79,0.130,0.250,0.109,0.054,0.054,0.272,0.011,0.011,0.065,0.043,92
Client  80,0.078,0.122,0.029,0.732,0.039,0.00,0.00,0.00,0.00,0.00,205
Client  81,0.049,0.154,0.093,0.137,0.165,0.00,0.044,0.247,0.071,0.038,182
Client  82,0.013,0.004,0.206,0.058,0.013,0.099,0.206,0.009,0.283,0.108,223
Client  83,0.405,0.024,0.368,0.020,0.182,0.00,0.00,0.00,0.00,0.00,247
Client  84,0.443,0.071,0.289,0.198,0.00,0.00,0.00,0.00,0.00,0.00,253
Client  85,0.222,0.333,0.037,0.037,0.074,0.019,0.185,0.019,0.074,0.00,54
Client  86,0.367,0.059,0.00,0.00,0.272,0.00,0.118,0.047,0.095,0.041,169
Client  87,0.407,0.107,0.009,0.393,0.084,0.00,0.00,0.00,0.00,0.00,214
Client  88,0.098,0.00,0.277,0.250,0.00,0.011,0.082,0.043,0.207,0.033,184
Client  89,0.393,0.607,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,257
Client  90,0.007,0.040,0.120,0.022,0.044,0.004,0.185,0.011,0.567,0.00,275
Client  91,0.209,0.005,0.464,0.015,0.010,0.005,0.107,0.041,0.066,0.077,196
Client  92,0.052,0.264,0.057,0.528,0.099,0.00,0.00,0.00,0.00,0.00,212
Client  93,0.005,0.065,0.065,0.393,0.025,0.005,0.020,0.020,0.124,0.279,201
Client  94,0.346,0.069,0.038,0.008,0.008,0.031,0.046,0.315,0.085,0.054,130
Client  95,0.047,0.012,0.279,0.047,0.047,0.023,0.012,0.500,0.035,0.00,86
Client  96,0.00,0.162,0.012,0.032,0.794,0.00,0.00,0.00,0.00,0.00,247
Client  97,0.380,0.029,0.048,0.024,0.00,0.019,0.00,0.010,0.115,0.375,208
Client  98,0.249,0.005,0.074,0.053,0.074,0.021,0.021,0.074,0.00,0.429,189
Client  99,0.037,0.216,0.031,0.025,0.006,0.210,0.031,0.327,0.006,0.111,162
Client 100,0.085,0.319,0.00,0.021,0.021,0.00,0.191,0.085,0.00,0.277,47
Client 101,0.034,0.317,0.117,0.019,0.015,0.00,0.019,0.011,0.121,0.347,265
Client 102,0.046,0.153,0.017,0.003,0.780,0.00,0.00,0.00,0.00,0.00,346
Client 103,0.089,0.195,0.716,0.00,0.00,0.00,0.00,0.00,0.00,0.00,257
Client 104,0.403,0.004,0.034,0.335,0.225,0.00,0.00,0.00,0.00,0.00,236
Client 105,0.126,0.00,0.637,0.098,0.065,0.074,0.00,0.00,0.00,0.00,215
Client 106,0.022,0.067,0.101,0.213,0.517,0.022,0.00,0.045,0.00,0.011,89
Client 107,0.496,0.122,0.382,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254
Client 108,0.130,0.035,0.240,0.075,0.285,0.00,0.060,0.050,0.060,0.065,200
Client 109,0.010,0.068,0.183,0.005,0.225,0.010,0.021,0.236,0.230,0.010,191
Client 110,0.141,0.234,0.00,0.493,0.132,0.00,0.00,0.00,0.00,0.00,205
Client 111,0.255,0.691,0.054,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204
Client 112,0.004,0.019,0.037,0.071,0.591,0.007,0.007,0.264,0.00,0.00,269
Client 113,0.030,0.106,0.528,0.005,0.116,0.126,0.020,0.015,0.00,0.055,199
Client 114,0.047,0.312,0.088,0.088,0.00,0.029,0.229,0.024,0.018,0.165,170
Client 115,0.192,0.023,0.185,0.00,0.072,0.019,0.038,0.057,0.415,0.00,265
Client 116,0.667,0.072,0.039,0.222,0.00,0.00,0.00,0.00,0.00,0.00,207
Client 117,0.070,0.00,0.096,0.228,0.009,0.026,0.202,0.298,0.018,0.053,114
Client 118,0.00,0.096,0.00,0.904,0.00,0.00,0.00,0.00,0.00,0.00,240
Client 119,0.008,0.185,0.092,0.029,0.00,0.097,0.004,0.273,0.311,0.00,238
Client 120,0.327,0.018,0.014,0.100,0.445,0.095,0.00,0.00,0.00,0.00,220
Client 121,0.017,0.006,0.023,0.00,0.017,0.492,0.040,0.356,0.034,0.017,177
Client 122,0.090,0.910,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,277
Client 123,0.004,0.053,0.040,0.356,0.004,0.00,0.024,0.304,0.215,0.00,247
Client 124,0.160,0.086,0.164,0.00,0.590,0.00,0.00,0.00,0.00,0.00,324
Client 125,0.065,0.040,0.158,0.736,0.00,0.00,0.00,0.00,0.00,0.00,322
Client 126,0.392,0.00,0.221,0.240,0.046,0.101,0.00,0.00,0.00,0.00,217
Client 127,0.044,0.516,0.176,0.066,0.165,0.00,0.011,0.00,0.011,0.011,91
Client 128,0.034,0.200,0.098,0.210,0.361,0.039,0.034,0.024,0.00,0.00,205
Client 129,0.033,0.733,0.024,0.00,0.00,0.210,0.00,0.00,0.00,0.00,210
Client 130,0.00,0.156,0.115,0.094,0.354,0.083,0.010,0.167,0.010,0.010,96
Client 131,0.295,0.00,0.157,0.318,0.157,0.005,0.069,0.00,0.00,0.00,217
Client 132,0.119,0.076,0.091,0.006,0.708,0.00,0.00,0.00,0.00,0.00,329
Client 133,0.067,0.022,0.467,0.444,0.00,0.00,0.00,0.00,0.00,0.00,225
Client 134,0.098,0.005,0.393,0.014,0.159,0.224,0.033,0.075,0.00,0.00,214
Client 135,0.056,0.008,0.128,0.248,0.280,0.176,0.00,0.008,0.00,0.096,125
Client 136,0.009,0.00,0.009,0.019,0.037,0.417,0.074,0.056,0.074,0.306,108
Client 137,0.00,0.280,0.080,0.004,0.058,0.098,0.013,0.213,0.009,0.244,225
Client 138,0.006,0.134,0.024,0.159,0.024,0.049,0.006,0.030,0.567,0.00,164
Client 139,0.241,0.187,0.290,0.00,0.282,0.00,0.00,0.00,0.00,0.00,241
Client 140,0.011,0.011,0.033,0.385,0.077,0.099,0.011,0.242,0.066,0.066,91
Client 141,0.109,0.091,0.191,0.027,0.00,0.136,0.445,0.00,0.00,0.00,330
Client 142,0.039,0.005,0.029,0.020,0.794,0.015,0.029,0.049,0.020,0.00,204
Client 143,0.005,0.761,0.105,0.129,0.00,0.00,0.00,0.00,0.00,0.00,209
Client 144,0.053,0.199,0.748,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226
Client 145,0.148,0.081,0.004,0.022,0.462,0.00,0.094,0.081,0.004,0.103,223
Client 146,0.005,0.095,0.005,0.023,0.141,0.095,0.009,0.005,0.414,0.209,220
Client 147,0.780,0.220,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218
Client 148,0.235,0.049,0.103,0.191,0.343,0.078,0.00,0.00,0.00,0.00,204
Client 149,0.116,0.343,0.140,0.401,0.00,0.00,0.00,0.00,0.00,0.00,207
Client 150,0.132,0.044,0.286,0.143,0.176,0.022,0.022,0.00,0.176,0.00,91
Client 151,0.083,0.238,0.500,0.00,0.039,0.126,0.015,0.00,0.00,0.00,206
Client 152,0.00,0.094,0.033,0.071,0.542,0.142,0.118,0.00,0.00,0.00,212
Client 153,0.008,0.611,0.00,0.061,0.031,0.008,0.00,0.176,0.061,0.046,131
Client 154,0.352,0.279,0.069,0.300,0.00,0.00,0.00,0.00,0.00,0.00,247
Client 155,0.054,0.120,0.120,0.004,0.035,0.108,0.251,0.004,0.012,0.293,259
Client 156,0.011,0.021,0.340,0.128,0.021,0.117,0.085,0.085,0.043,0.149,94
Client 157,0.00,0.052,0.373,0.026,0.062,0.00,0.052,0.264,0.005,0.166,193
Client 158,0.038,0.375,0.115,0.173,0.144,0.010,0.106,0.019,0.00,0.019,104
Client 159,0.009,0.342,0.158,0.491,0.00,0.00,0.00,0.00,0.00,0.00,322
Client 160,0.088,0.367,0.061,0.245,0.054,0.00,0.095,0.034,0.00,0.054,147
Client 161,0.302,0.127,0.012,0.029,0.086,0.073,0.371,0.00,0.00,0.00,245
Client 162,0.005,0.053,0.170,0.024,0.102,0.165,0.437,0.019,0.024,0.00,206
Client 163,0.025,0.005,0.040,0.241,0.095,0.005,0.035,0.387,0.00,0.166,199
Client 164,0.015,0.718,0.010,0.005,0.214,0.00,0.039,0.00,0.00,0.00,206
Client 165,0.032,0.024,0.096,0.454,0.394,0.00,0.00,0.00,0.00,0.00,251
Client 166,0.019,0.100,0.881,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210
Client 167,0.135,0.040,0.00,0.040,0.385,0.025,0.130,0.00,0.135,0.110,200
Client 168,0.304,0.069,0.627,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217
Client 169,0.090,0.530,0.080,0.150,0.00,0.010,0.120,0.00,0.00,0.020,100
Client 170,0.113,0.088,0.504,0.143,0.151,0.00,0.00,0.00,0.00,0.00,238
Client 171,0.070,0.215,0.051,0.009,0.140,0.215,0.220,0.079,0.00,0.00,214
Client 172,0.004,0.071,0.402,0.199,0.158,0.004,0.162,0.00,0.00,0.00,241
Client 173,0.156,0.344,0.00,0.062,0.188,0.031,0.156,0.031,0.031,0.00,64
Client 174,0.040,0.119,0.060,0.00,0.279,0.00,0.030,0.373,0.050,0.050,201
Client 175,0.00,0.303,0.086,0.611,0.00,0.00,0.00,0.00,0.00,0.00,373
Client 176,0.006,0.025,0.038,0.310,0.051,0.025,0.475,0.013,0.057,0.00,158
Client 177,0.113,0.113,0.024,0.360,0.053,0.020,0.057,0.259,0.00,0.00,247
Client 178,0.335,0.00,0.017,0.277,0.008,0.364,0.00,0.00,0.00,0.00,242
Client 179,0.390,0.091,0.095,0.00,0.017,0.013,0.182,0.030,0.026,0.156,231
Client 180,0.048,0.043,0.106,0.014,0.226,0.236,0.202,0.053,0.072,0.00,208
Client 181,0.00,0.050,0.041,0.208,0.235,0.00,0.140,0.054,0.271,0.00,221
Client 182,0.032,0.016,0.00,0.637,0.040,0.016,0.00,0.040,0.129,0.089,124
Client 183,0.017,0.007,0.597,0.379,0.00,0.00,0.00,0.00,0.00,0.00,298
Client 184,0.010,0.307,0.082,0.150,0.113,0.007,0.331,0.00,0.00,0.00,293
Client 185,0.056,0.029,0.569,0.346,0.00,0.00,0.00,0.00,0.00,0.00,306
Client 186,0.264,0.00,0.050,0.224,0.075,0.075,0.060,0.025,0.025,0.204,201
Client 187,0.005,0.021,0.036,0.165,0.180,0.010,0.041,0.160,0.299,0.082,194
Client 188,0.00,0.150,0.034,0.047,0.496,0.043,0.004,0.226,0.00,0.00,234
Client 189,0.308,0.250,0.442,0.00,0.00,0.00,0.00,0.00,0.00,0.00,224
Client 190,0.015,0.443,0.064,0.089,0.266,0.010,0.010,0.005,0.015,0.084,203
Client 191,0.00,0.364,0.010,0.091,0.010,0.222,0.172,0.00,0.020,0.111,198
Client 192,0.123,0.028,0.00,0.196,0.00,0.00,0.050,0.084,0.140,0.380,179
Client 193,0.026,0.325,0.195,0.078,0.156,0.026,0.00,0.026,0.156,0.013,77
Client 194,0.008,0.232,0.038,0.00,0.278,0.00,0.253,0.190,0.00,0.00,237
Client 195,0.062,0.602,0.00,0.044,0.066,0.004,0.00,0.049,0.071,0.102,226
Client 196,0.201,0.009,0.00,0.043,0.222,0.00,0.085,0.098,0.342,0.00,234
Client 197,0.054,0.012,0.166,0.768,0.00,0.00,0.00,0.00,0.00,0.00,259
Client 198,0.214,0.173,0.012,0.036,0.327,0.054,0.048,0.054,0.083,0.00,168
Client 199,0.006,0.039,0.435,0.227,0.110,0.039,0.078,0.052,0.006,0.006,154
